"filename", "language", "JSON", "Dart", "Markdown", "YAML", "C++", "Swift", "HTML", "Properties", "XML", "Groovy", "kotlin", "comment", "blank", "total"
"f:\FlutterProjects\wallpaper_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"f:\FlutterProjects\wallpaper_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 13, 64
"f:\FlutterProjects\wallpaper_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"f:\FlutterProjects\wallpaper_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 11, 1, 42
"f:\FlutterProjects\wallpaper_app\android\app\src\main\kotlin\com\example\wallpaper_app\MainActivity.kt", "kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\FlutterProjects\wallpaper_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"f:\FlutterProjects\wallpaper_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"f:\FlutterProjects\wallpaper_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"f:\FlutterProjects\wallpaper_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"f:\FlutterProjects\wallpaper_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"f:\FlutterProjects\wallpaper_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"f:\FlutterProjects\wallpaper_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"f:\FlutterProjects\wallpaper_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"f:\FlutterProjects\wallpaper_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\FlutterProjects\wallpaper_app\lib\blocs\blocs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"f:\FlutterProjects\wallpaper_app\lib\main.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"f:\FlutterProjects\wallpaper_app\lib\models\collection.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 80
"f:\FlutterProjects\wallpaper_app\lib\models\config.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 90
"f:\FlutterProjects\wallpaper_app\lib\models\link.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"f:\FlutterProjects\wallpaper_app\lib\models\models.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\FlutterProjects\wallpaper_app\lib\models\photo.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 143
"f:\FlutterProjects\wallpaper_app\lib\models\profileimage.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"f:\FlutterProjects\wallpaper_app\lib\models\search_query_collection.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
